hour,price,category,frequency,is_essential,deliberation_minutes,on_wishlist,impulse_level
20,60.11,beauty,9,0,849,1,0
3,339.97,home,3,1,1065,1,0
2,113.23,home,20,1,283,1,0
20,352.16,entertainment,8,0,4310,1,1
0,380.61,food,14,1,199,1,0
10,55.59,entertainment,4,0,201,1,0
8,404.53,beauty,15,0,32,0,2
12,44.01,electronics,20,0,30,1,0
6,353.76,clothing,8,0,2,0,3
7,433.91,entertainment,9,0,3,0,2
5,188.24,food,9,1,376,0,0
2,306.52,food,18,1,446,1,0
12,138.62,beauty,18,0,178,1,1
1,118.38,clothing,11,0,71,1,1
18,438.8,electronics,7,0,163,1,0
20,232.13,electronics,5,1,6,0,2
8,374.77,entertainment,19,0,395,1,0
4,257.22,clothing,2,0,1385,1,0
5,397.08,entertainment,20,0,551,1,1
14,266.91,home,1,0,55,1,0
17,376.68,beauty,11,0,87,0,3
14,6.61,beauty,9,0,15,0,2
16,456.75,beauty,10,0,1,0,3
6,80.66,food,18,0,7,0,3
0,301.48,entertainment,1,0,675,1,0
9,123.53,food,19,0,655,1,0
15,408.93,home,5,1,5,0,1
17,86.74,home,20,1,1894,1,0
17,378.86,beauty,7,0,114,1,0
21,326.69,entertainment,17,0,663,1,1
2,172.35,home,18,1,196,1,0
2,355.38,clothing,8,1,76,1,0
10,40.07,food,9,1,1364,1,0
4,363.06,home,19,1,17,0,2
13,99.25,clothing,14,0,41,0,2
23,31.81,beauty,4,1,41,0,2
3,128.08,food,18,1,18,0,2
8,234.0,clothing,15,0,1,0,3
3,30.04,home,1,0,23,0,2
7,87.32,entertainment,16,0,24,0,2
1,86.5,clothing,13,1,12,0,2
14,146.2,beauty,18,0,385,0,2
6,151.87,clothing,19,0,119,1,0
10,33.3,home,16,1,125,0,1
5,33.16,home,3,0,182,1,0
2,339.23,food,13,1,24,0,2
7,291.56,clothing,20,1,4,0,2
18,263.78,electronics,7,0,224,1,0
8,200.91,beauty,10,0,36,0,2
2,9.61,home,19,0,406,1,0
6,255.41,food,12,1,1,0,1
11,146.07,entertainment,18,0,10,0,2
20,266.83,beauty,18,0,14,0,3
4,135.91,clothing,18,1,6831,1,0
6,360.22,food,9,1,593,1,0
1,50.69,entertainment,9,1,22,1,0
4,320.37,electronics,6,0,22,0,3
13,282.65,clothing,3,0,13,0,2
4,275.07,electronics,19,0,18,0,2
1,157.59,clothing,12,1,2240,1,0
3,180.07,home,14,0,97,0,2
7,432.98,food,14,1,332,0,0
10,392.28,entertainment,8,0,64,0,3
3,194.36,clothing,16,1,2,0,2
14,178.08,food,8,1,468,1,0
10,142.91,clothing,9,0,1,0,3
21,490.67,home,11,0,81,1,1
8,93.39,electronics,2,1,3,0,2
23,394.28,entertainment,20,0,124,1,1
18,99.09,clothing,14,1,102,0,0
17,344.99,beauty,7,0,567,1,1
21,460.78,home,11,0,36,1,1
9,256.03,beauty,14,0,33,0,3
17,68.01,entertainment,13,0,1,0,2
19,286.71,entertainment,18,0,882,1,1
6,217.79,home,20,0,33,0,2
14,339.44,home,16,0,5,0,3
23,89.0,clothing,10,0,36,0,2
10,51.23,food,10,1,6625,1,0
0,27.88,entertainment,20,0,67,1,1
13,443.64,home,7,0,93,1,0
12,125.77,beauty,1,0,203,0,1
3,390.32,food,6,1,137,0,1
14,29.86,food,4,1,103,0,1
21,267.91,home,20,1,12,0,1
14,308.26,beauty,17,0,3,0,3
14,449.12,beauty,16,0,17,0,3
20,142.27,home,16,0,610,1,0
2,358.2,food,9,1,20,0,2
2,73.5,food,13,1,11,0,3
2,210.36,electronics,18,0,1031,1,0
13,197.79,home,1,0,2,0,2
12,241.1,electronics,10,0,12,0,2
13,271.42,beauty,18,0,51,0,2
15,113.61,entertainment,16,1,113,1,0
21,400.08,beauty,6,0,8,0,3
19,269.39,entertainment,19,0,556,1,0
20,217.16,entertainment,6,0,523,1,0
6,230.08,electronics,13,1,3,0,2
